fecha;tmax
2008-12-29;314,40
2008-12-30;312,20
2008-12-31;304,90
2009-01-01;296,40
2009-01-02;298,50
2009-01-03;302,30
2009-01-04;303,50
2009-01-05;306,20
2009-01-06;308,60
2009-01-07;310,50
2009-01-08;315,70
2009-01-09;314,40
2009-01-10;305,80
2009-01-11;303,30
2009-01-12;299,50
2009-01-13;310,40
2009-01-14;311,50
2009-01-15;312,30
2009-01-16;312,40
2009-01-17;309,50
2009-01-18;309,90
2009-01-19;306,70
2009-01-20;308,30
2009-01-21;312,50
2009-01-22;310,60
2009-01-23;311,60
2009-01-24;310,90
2009-01-25;308,40
2009-01-26;310,80
2009-01-27;306,00
