fecha;hrmean
2008-12-29;33,45
2008-12-30;47,29
2008-12-31;45,91
2009-01-01;75,21
2009-01-02;50,26
2009-01-03;29,57
2009-01-04;33,30
2009-01-05;38,51
2009-01-06;34,00
2009-01-07;31,83
2009-01-08;24,77
2009-01-09;20,20
2009-01-10;26,41
2009-01-11;29,23
2009-01-12;31,56
2009-01-13;39,41
2009-01-14;74,33
2009-01-15;68,24
2009-01-16;66,03
2009-01-17;89,80
2009-01-18;95,83
2009-01-19;94,37
2009-01-20;82,76
2009-01-21;74,21
2009-01-22;60,17
2009-01-23;63,80
2009-01-24;82,60
2009-01-25;88,85
2009-01-26;90,23
2009-01-27;92,88
