fecha;radsup
2008-12-29;21,58
2008-12-30;18,45
2008-12-31;6,30
2009-01-01;5,18
2009-01-02;14,73
2009-01-03;29,66
2009-01-04;30,27
2009-01-05;29,52
2009-01-06;29,28
2009-01-07;29,28
2009-01-08;24,85
2009-01-09;24,47
2009-01-10;17,52
2009-01-11;11,69
2009-01-12;4,07
2009-01-13;20,83
2009-01-14;22,99
2009-01-15;26,37
2009-01-16;24,39
2009-01-17;12,81
2009-01-18;13,00
2009-01-19;7,44
2009-01-20;12,62
2009-01-21;25,79
2009-01-22;22,66
2009-01-23;22,61
2009-01-24;15,08
2009-01-25;10,03
2009-01-26;17,14
2009-01-27;9,00
