fecha;precip
2003-05-12;0,00
2003-05-13;0,00
2003-05-14;0,00
2003-05-15;0,00
2003-05-16;21,47
2003-05-17;2,48
2003-05-18;0,00
2003-05-19;0,00
2003-05-20;0,04
2003-05-21;1,81
2003-05-22;6,33
2003-05-23;23,28
2003-05-24;10,20
2003-05-25;15,49
2003-05-26;5,75
2003-05-27;0,37
2003-05-28;0,91
2003-05-29;18,25
2003-05-30;39,85
2003-05-31;6,74
2003-06-01;0,24
2003-06-02;2,16
2003-06-03;7,15
2003-06-04;28,23
2003-06-05;23,80
2003-06-06;0,17
2003-06-07;3,15
2003-06-08;0,11
2003-06-09;44,69
2003-06-10;0,32
