fecha;precip
2003-05-12;0,00
2003-05-13;10,82
2003-05-14;35,34
2003-05-15;0,69
2003-05-16;3,13
2003-05-17;10,93
2003-05-18;22,77
2003-05-19;32,18
2003-05-20;2,81
2003-05-21;17,95
2003-05-22;0,93
2003-05-23;11,79
2003-05-24;13,05
2003-05-25;0,00
2003-05-26;0,00
2003-05-27;0,00
2003-05-28;0,04
2003-05-29;4,41
2003-05-30;12,90
2003-05-31;28,23
2003-06-01;0,00
2003-06-02;0,00
2003-06-03;0,00
2003-06-04;0,06
2003-06-05;1,25
2003-06-06;5,77
2003-06-07;0,69
2003-06-08;0,00
2003-06-09;0,48
2003-06-10;0,69
