fecha;tmax
2003-04-07;299,00
2003-04-08;299,70
2003-04-09;301,70
2003-04-10;299,00
2003-04-11;295,10
2003-04-12;293,90
2003-04-13;296,20
2003-04-14;299,70
2003-04-15;302,00
2003-04-16;295,40
2003-04-17;294,00
2003-04-18;293,90
2003-04-19;295,70
2003-04-20;296,00
2003-04-21;297,60
2003-04-22;298,10
2003-04-23;299,10
2003-04-24;298,10
2003-04-25;299,30
2003-04-26;297,90
2003-04-27;297,50
2003-04-28;299,40
2003-04-29;301,10
2003-04-30;301,60
2003-05-01;295,70
2003-05-02;291,30
2003-05-03;289,70
2003-05-04;292,40
2003-05-05;290,10
2003-05-06;289,40
