fecha;hrmean
2009-02-11;64,78
2009-02-12;41,80
2009-02-13;45,98
2009-02-14;47,15
2009-02-15;48,14
2009-02-16;46,44
2009-02-17;44,30
2009-02-18;36,78
2009-02-19;37,76
2009-02-20;43,69
2009-02-21;57,20
2009-02-22;52,20
2009-02-23;59,47
2009-02-24;60,22
2009-02-25;53,48
2009-02-26;40,31
2009-02-27;32,63
2009-02-28;45,02
2009-03-01;89,82
2009-03-02;78,64
2009-03-03;83,87
2009-03-04;48,74
2009-03-05;48,59
2009-03-06;54,39
2009-03-07;47,19
2009-03-08;47,96
2009-03-09;45,57
2009-03-10;42,24
2009-03-11;47,65
2009-03-12;47,51
