fecha;tmin
2009-02-25;292,90
2009-02-26;293,50
2009-02-27;294,90
2009-02-28;294,40
2009-03-01;298,20
2009-03-02;298,60
2009-03-03;299,40
2009-03-04;295,40
2009-03-05;295,10
2009-03-06;294,90
2009-03-07;299,10
2009-03-08;292,10
2009-03-09;290,50
2009-03-10;288,20
2009-03-11;296,20
2009-03-12;296,10
2009-03-13;295,90
2009-03-14;295,90
2009-03-15;293,70
2009-03-16;293,70
2009-03-17;296,70
2009-03-18;292,80
2009-03-19;289,90
2009-03-20;293,00
2009-03-21;296,50
2009-03-22;294,40
2009-03-23;292,30
2009-03-24;291,00
2009-03-25;289,30
2009-03-26;292,10
