fecha;precip
2009-02-25;0,00
2009-02-26;0,00
2009-02-27;0,00
2009-02-28;0,17
2009-03-01;7,73
2009-03-02;0,02
2009-03-03;1,88
2009-03-04;0,30
2009-03-05;3,56
2009-03-06;11,47
2009-03-07;1,19
2009-03-08;19,38
2009-03-09;0,13
2009-03-10;0,00
2009-03-11;11,73
2009-03-12;134,87
2009-03-13;74,07
2009-03-14;3,61
2009-03-15;1,47
2009-03-16;5,34
2009-03-17;12,27
2009-03-18;107,35
2009-03-19;0,22
2009-03-20;9,27
2009-03-21;38,56
2009-03-22;29,83
2009-03-23;0,06
2009-03-24;0,00
2009-03-25;0,02
2009-03-26;4,32
