fecha;hrmean
2009-03-23;38,25
2009-03-24;38,61
2009-03-25;41,63
2009-03-26;46,02
2009-03-27;45,77
2009-03-28;41,68
2009-03-29;43,42
2009-03-30;39,31
2009-03-31;37,82
2009-04-01;43,45
2009-04-02;38,97
2009-04-03;82,90
2009-04-04;62,32
2009-04-05;52,31
2009-04-06;42,59
2009-04-07;49,55
2009-04-08;55,66
2009-04-09;57,44
2009-04-10;92,74
2009-04-11;80,73
2009-04-12;43,25
2009-04-13;50,13
2009-04-14;53,20
2009-04-15;62,74
2009-04-16;83,43
2009-04-17;74,31
2009-04-18;75,69
2009-04-19;72,21
2009-04-20;78,30
2009-04-21;68,15
