fecha;radsup
2009-03-23;14,58
2009-03-24;15,23
2009-03-25;18,96
2009-03-26;8,13
2009-03-27;13,40
2009-03-28;7,46
2009-03-29;14,00
2009-03-30;9,48
2009-03-31;15,33
2009-04-01;13,12
2009-04-02;11,01
2009-04-03;19,94
2009-04-04;19,72
2009-04-05;15,53
2009-04-06;11,94
2009-04-07;12,10
2009-04-08;13,09
2009-04-09;16,25
2009-04-10;14,55
2009-04-11;6,93
2009-04-12;3,85
2009-04-13;15,34
2009-04-14;19,02
2009-04-15;18,60
2009-04-16;16,55
2009-04-17;18,15
2009-04-18;14,87
2009-04-19;15,24
2009-04-20;17,97
2009-04-21;18,12
