fecha;precip
2009-02-04;0,41
2009-02-05;1,38
2009-02-06;5,25
2009-02-07;47,39
2009-02-08;2,03
2009-02-09;0,00
2009-02-10;10,20
2009-02-11;53,70
2009-02-12;13,39
2009-02-13;0,00
2009-02-14;0,15
2009-02-15;5,49
2009-02-16;3,24
2009-02-17;18,68
2009-02-18;6,74
2009-02-19;11,34
2009-02-20;1,97
2009-02-21;0,00
2009-02-22;0,00
2009-02-23;0,00
2009-02-24;0,00
2009-02-25;9,74
2009-02-26;12,40
2009-02-27;0,19
2009-02-28;0,02
2009-03-01;36,05
2009-03-02;37,58
2009-03-03;12,81
2009-03-04;13,15
2009-03-05;11,45
