fecha;tmin
2009-02-04;296,60
2009-02-05;296,60
2009-02-06;297,70
2009-02-07;293,30
2009-02-08;292,30
2009-02-09;290,70
2009-02-10;290,90
2009-02-11;290,80
2009-02-12;291,10
2009-02-13;293,70
2009-02-14;294,10
2009-02-15;296,40
2009-02-16;294,00
2009-02-17;294,10
2009-02-18;293,40
2009-02-19;292,80
2009-02-20;293,70
2009-02-21;295,40
2009-02-22;296,80
2009-02-23;297,50
2009-02-24;296,10
2009-02-25;296,10
2009-02-26;291,70
2009-02-27;288,30
2009-02-28;288,80
2009-03-01;289,00
2009-03-02;292,10
2009-03-03;294,90
2009-03-04;296,80
2009-03-05;297,50
