fecha;radsup
2009-02-04;9,99
2009-02-05;12,56
2009-02-06;5,46
2009-02-07;14,02
2009-02-08;9,98
2009-02-09;23,61
2009-02-10;21,75
2009-02-11;17,93
2009-02-12;19,54
2009-02-13;6,89
2009-02-14;3,92
2009-02-15;15,93
2009-02-16;22,44
2009-02-17;25,22
2009-02-18;20,24
2009-02-19;20,23
2009-02-20;12,85
2009-02-21;24,33
2009-02-22;14,63
2009-02-23;10,87
2009-02-24;3,64
2009-02-25;23,97
2009-02-26;8,48
2009-02-27;16,00
2009-02-28;19,12
2009-03-01;16,83
2009-03-02;18,26
2009-03-03;19,10
2009-03-04;17,91
2009-03-05;20,54
