fecha;tmin
2009-02-04;295,20
2009-02-05;298,20
2009-02-06;295,80
2009-02-07;296,10
2009-02-08;294,70
2009-02-09;293,80
2009-02-10;293,40
2009-02-11;294,20
2009-02-12;300,30
2009-02-13;293,00
2009-02-14;287,60
2009-02-15;288,40
2009-02-16;291,00
2009-02-17;293,20
2009-02-18;294,80
2009-02-19;296,20
2009-02-20;297,50
2009-02-21;295,80
2009-02-22;296,20
2009-02-23;295,80
2009-02-24;296,10
2009-02-25;296,50
2009-02-26;291,60
2009-02-27;296,20
2009-02-28;293,90
2009-03-01;286,00
2009-03-02;288,00
2009-03-03;289,60
2009-03-04;291,30
2009-03-05;293,50
