fecha;radsup
2009-02-18;19,73
2009-02-19;19,77
2009-02-20;11,90
2009-02-21;10,09
2009-02-22;4,14
2009-02-23;18,74
2009-02-24;4,66
2009-02-25;11,03
2009-02-26;13,60
2009-02-27;24,13
2009-02-28;24,72
2009-03-01;23,94
2009-03-02;17,34
2009-03-03;5,75
2009-03-04;6,16
2009-03-05;22,67
2009-03-06;23,70
2009-03-07;9,48
2009-03-08;7,37
2009-03-09;21,10
2009-03-10;23,91
2009-03-11;16,16
2009-03-12;4,80
2009-03-13;6,13
2009-03-14;14,23
2009-03-15;22,60
2009-03-16;22,38
2009-03-17;20,87
2009-03-18;21,11
2009-03-19;21,06
