fecha;precip
2009-02-18;0,00
2009-02-19;0,04
2009-02-20;0,13
2009-02-21;9,24
2009-02-22;25,25
2009-02-23;0,00
2009-02-24;0,00
2009-02-25;0,00
2009-02-26;0,00
2009-02-27;0,09
2009-02-28;30,50
2009-03-01;6,61
2009-03-02;8,23
2009-03-03;59,27
2009-03-04;2,12
2009-03-05;59,77
2009-03-06;4,88
2009-03-07;4,51
2009-03-08;0,00
2009-03-09;0,00
2009-03-10;0,00
2009-03-11;0,43
2009-03-12;11,06
2009-03-13;38,25
2009-03-14;87,22
2009-03-15;0,60
2009-03-16;40,33
2009-03-17;0,35
2009-03-18;0,00
2009-03-19;0,00
