fecha;tmin
2008-12-31;292,80
2009-01-01;296,60
2009-01-02;294,60
2009-01-03;290,20
2009-01-04;289,40
2009-01-05;291,20
2009-01-06;292,40
2009-01-07;296,80
2009-01-08;298,60
2009-01-09;297,50
2009-01-10;294,80
2009-01-11;294,50
2009-01-12;292,40
2009-01-13;294,30
2009-01-14;299,00
2009-01-15;298,20
2009-01-16;296,30
2009-01-17;298,10
2009-01-18;300,70
2009-01-19;298,00
2009-01-20;296,80
2009-01-21;296,90
2009-01-22;297,50
2009-01-23;298,70
2009-01-24;298,60
2009-01-25;300,10
2009-01-26;302,30
2009-01-27;302,00
2009-01-28;294,30
2009-01-29;295,30
