fecha;tmin
2009-02-23;294,80
2009-02-24;293,60
2009-02-25;292,80
2009-02-26;294,30
2009-02-27;295,50
2009-02-28;295,10
2009-03-01;295,90
2009-03-02;298,40
2009-03-03;295,40
2009-03-04;290,40
2009-03-05;291,90
2009-03-06;294,00
2009-03-07;295,20
2009-03-08;295,50
2009-03-09;296,20
2009-03-10;298,30
2009-03-11;298,20
2009-03-12;297,90
2009-03-13;298,70
2009-03-14;298,10
2009-03-15;299,20
2009-03-16;298,70
2009-03-17;299,00
2009-03-18;294,50
2009-03-19;295,80
2009-03-20;292,60
2009-03-21;294,10
2009-03-22;291,60
2009-03-23;288,60
2009-03-24;290,50
