fecha;hrmean
2009-02-23;94,17
2009-02-24;90,19
2009-02-25;92,14
2009-02-26;90,53
2009-02-27;95,81
2009-02-28;88,68
2009-03-01;77,42
2009-03-02;71,94
2009-03-03;68,72
2009-03-04;67,20
2009-03-05;65,65
2009-03-06;64,27
2009-03-07;79,72
2009-03-08;97,54
2009-03-09;85,84
2009-03-10;70,72
2009-03-11;67,99
2009-03-12;89,30
2009-03-13;85,72
2009-03-14;74,47
2009-03-15;64,73
2009-03-16;64,32
2009-03-17;86,85
2009-03-18;75,97
2009-03-19;74,80
2009-03-20;86,14
2009-03-21;80,78
2009-03-22;78,70
2009-03-23;89,09
2009-03-24;88,67
