fecha;tmin
2009-02-23;295,70
2009-02-24;295,00
2009-02-25;293,70
2009-02-26;293,50
2009-02-27;295,10
2009-02-28;294,50
2009-03-01;295,70
2009-03-02;296,40
2009-03-03;297,40
2009-03-04;297,80
2009-03-05;295,90
2009-03-06;294,90
2009-03-07;298,70
2009-03-08;298,00
2009-03-09;300,40
2009-03-10;292,20
2009-03-11;290,20
2009-03-12;291,80
2009-03-13;291,80
2009-03-14;288,80
2009-03-15;288,90
2009-03-16;291,80
2009-03-17;291,50
2009-03-18;293,20
2009-03-19;295,40
2009-03-20;298,40
2009-03-21;297,80
2009-03-22;295,30
2009-03-23;296,20
2009-03-24;295,90
