fecha;tmin
2009-05-04;290,30
2009-05-05;285,60
2009-05-06;281,50
2009-05-07;282,80
2009-05-08;287,80
2009-05-09;285,30
2009-05-10;287,40
2009-05-11;294,00
2009-05-12;293,60
2009-05-13;287,50
2009-05-14;284,50
2009-05-15;280,60
2009-05-16;282,30
2009-05-17;286,90
2009-05-18;286,50
2009-05-19;284,80
2009-05-20;282,10
2009-05-21;278,80
2009-05-22;279,90
2009-05-23;286,90
2009-05-24;285,50
2009-05-25;288,40
2009-05-26;292,10
2009-05-27;295,80
2009-05-28;282,00
2009-05-29;279,80
2009-05-30;275,20
2009-05-31;274,00
2009-06-01;272,00
2009-06-02;272,40
