fecha;tmax
2009-01-21;308,10
2009-01-22;308,10
2009-01-23;308,80
2009-01-24;309,10
2009-01-25;310,40
2009-01-26;311,90
2009-01-27;305,10
2009-01-28;303,90
2009-01-29;301,90
2009-01-30;303,90
2009-01-31;306,80
2009-02-01;310,60
2009-02-02;312,10
2009-02-03;311,10
2009-02-04;301,50
2009-02-05;298,60
2009-02-06;308,70
2009-02-07;307,90
2009-02-08;303,30
2009-02-09;303,00
2009-02-10;306,80
2009-02-11;309,60
2009-02-12;311,10
2009-02-13;310,90
2009-02-14;308,30
2009-02-15;308,50
2009-02-16;309,80
2009-02-17;310,10
2009-02-18;309,50
2009-02-19;303,40
