fecha;radsup
2009-01-21;28,89
2009-01-22;23,28
2009-01-23;21,87
2009-01-24;25,00
2009-01-25;24,21
2009-01-26;27,00
2009-01-27;23,94
2009-01-28;16,76
2009-01-29;21,36
2009-01-30;20,26
2009-01-31;14,37
2009-02-01;17,41
2009-02-02;20,62
2009-02-03;20,28
2009-02-04;11,06
2009-02-05;11,10
2009-02-06;3,92
2009-02-07;11,42
2009-02-08;7,54
2009-02-09;9,74
2009-02-10;21,07
2009-02-11;26,21
2009-02-12;26,39
2009-02-13;23,46
2009-02-14;14,65
2009-02-15;15,52
2009-02-16;8,28
2009-02-17;10,87
2009-02-18;22,55
2009-02-19;25,80
