fecha;tmax
2003-04-28;297,20
2003-04-29;295,20
2003-04-30;293,60
2003-05-01;291,00
2003-05-02;290,80
2003-05-03;290,50
2003-05-04;289,90
2003-05-05;290,80
2003-05-06;288,50
2003-05-07;291,10
2003-05-08;291,50
2003-05-09;291,00
2003-05-10;294,10
2003-05-11;293,70
2003-05-12;293,80
2003-05-13;292,70
2003-05-14;291,70
2003-05-15;293,80
2003-05-16;291,10
2003-05-17;292,60
2003-05-18;292,90
2003-05-19;293,70
2003-05-20;288,00
2003-05-21;291,70
2003-05-22;291,90
2003-05-23;289,10
2003-05-24;291,40
2003-05-25;291,40
2003-05-26;287,90
2003-05-27;286,10
