Prct;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
89,000;42,000;42,000;39,000;40,520;29,620;19,230;16,000;22,280;31,000;35,140;41,280;44,370
90,000;44,000;44,000;44,000;43,600;31,800;22,300;19,000;24,600;33,400;36,400;45,000;46,700
91,000;46,000;44,010;45,000;45,000;35,802;23,370;21,400;26,000;35,960;39,320;46,320;52,000
92,000;49,400;47,720;47,000;47,560;39,720;26,000;23,600;27,560;36,520;41,920;50,000;54,000
93,000;52,000;55,460;53,740;55,060;41,000;27,510;26,000;31,000;40,080;45,180;52,720;56,000
94,000;56,200;62,360;58,840;60,840;44,040;31,102;27,200;31,864;42,064;46,440;55,760;64,040
95,000;64,750;67,900;66,550;65,800;47,200;41,000;31,900;33,800;45,200;53,400;58,800;69,700
96,000;70,200;72,000;74,560;73,280;54,252;41,000;39,600;37,640;46,000;54,000;65,840;72,000
97,000;76,550;77,000;79,190;78,440;72,520;42,790;41,000;41,528;50,600;62,100;73,640;78,080
98,000;85,000;82,000;82,000;82,000;79,360;50,956;42,460;43,960;55,760;73,880;85,680;86,680
99,000;105,595;99,570;104,550;100,480;107,620;73,090;53,080;49,800;59,880;86,000;92,700;104,149
