Prct;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
61,000;7,201;7,956;8,838;8,896;8,078;6,273;6,220;6,858;8,931;10,112;9,647;8,318
62,000;7,393;8,300;8,993;8,999;8,255;6,415;6,280;7,098;9,214;10,319;10,070;8,585
63,000;7,878;8,561;9,477;9,452;8,357;6,555;6,348;7,420;9,405;10,501;10,331;8,687
64,000;8,185;8,641;10,056;9,830;8,554;6,746;6,469;7,510;9,571;10,657;10,457;9,300
65,000;8,508;8,919;10,442;10,174;8,773;6,996;6,683;7,680;9,722;10,982;10,813;10,013
66,000;8,628;9,300;10,790;10,752;8,892;7,211;6,781;7,781;10,113;11,083;10,981;10,367
67,000;8,915;9,795;11,128;11,233;9,083;7,479;6,869;8,275;10,331;11,343;11,104;10,571
68,000;9,678;10,273;11,330;11,654;9,680;7,701;7,067;8,490;10,590;11,595;11,645;10,929
69,000;10,274;10,680;11,853;11,915;10,065;8,053;7,415;8,881;10,724;11,822;11,876;11,523
70,000;10,450;10,892;12,260;12,294;10,301;8,277;7,520;9,072;10,980;12,024;12,158;11,919
71,000;10,789;11,553;12,656;12,746;11,226;8,431;7,706;9,185;11,076;12,924;12,860;12,330
72,000;10,908;12,145;13,304;13,067;11,589;8,639;8,078;9,403;11,474;13,230;13,276;12,751
73,000;12,165;12,562;13,878;13,542;11,913;8,799;8,245;9,450;11,631;13,406;13,650;13,394
74,000;12,473;13,198;14,747;14,482;12,296;9,051;8,429;9,602;12,008;13,942;14,303;13,724
75,000;13,381;13,440;15,238;14,941;12,586;9,184;8,620;9,764;12,766;14,363;14,969;14,478
76,000;13,760;14,060;15,793;15,445;12,956;9,502;8,891;9,978;13,110;15,176;15,331;15,007
77,000;14,895;15,226;16,400;15,781;13,427;9,852;9,164;10,320;13,283;15,681;15,896;15,848
78,000;15,260;16,505;16,664;16,390;14,054;9,968;9,505;10,616;13,574;16,907;16,267;16,292
79,000;16,041;17,345;17,356;16,622;14,697;10,158;9,833;10,814;14,328;17,593;17,536;17,500
80,000;16,490;17,594;17,698;17,186;15,082;10,860;9,986;11,044;15,188;17,925;17,975;18,165
81,000;17,864;18,144;18,120;17,491;15,605;11,484;10,366;11,511;16,129;18,365;18,399;18,840
82,000;18,227;18,515;18,736;17,781;15,878;11,905;10,818;11,731;16,802;19,520;19,541;19,596
83,000;19,339;19,210;19,410;18,353;16,509;12,095;11,151;12,106;17,467;20,232;20,482;20,800
84,000;20,322;19,889;20,381;19,319;16,793;12,786;11,597;12,869;17,836;20,764;22,540;22,220
85,000;20,831;20,722;20,852;20,042;17,742;13,056;11,927;13,129;18,348;23,553;24,030;22,936
86,000;21,848;20,968;22,669;21,824;18,468;13,495;12,102;13,448;19,505;24,313;24,823;24,664
87,000;22,805;22,830;24,695;22,278;20,244;14,034;12,614;14,404;19,789;25,264;25,598;26,436
88,000;25,180;25,007;25,464;23,042;21,725;15,015;12,967;16,402;20,485;26,079;26,847;27,013
89,000;26,535;26,450;26,711;24,629;22,230;15,622;13,343;17,057;21,184;26,810;27,905;27,941
90,000;27,070;27,376;27,835;25,572;23,443;16,555;14,022;17,430;23,511;29,157;31,197;31,410
91,000;28,130;28,635;29,140;26,834;24,511;17,208;16,284;18,511;25,096;30,712;32,380;33,075
92,000;32,642;33,104;30,697;29,398;25,618;18,658;16,896;19,317;25,485;31,607;33,288;36,510
93,000;35,416;35,304;35,823;30,699;26,873;20,005;17,249;19,632;26,629;33,531;36,856;37,506
94,000;36,957;36,561;37,204;35,616;27,804;21,525;19,371;19,850;29,157;35,923;39,200;40,586
95,000;40,514;38,991;38,852;36,642;30,271;22,198;19,801;20,474;31,113;39,388;43,030;43,073
96,000;43,460;40,559;43,166;38,641;36,223;23,821;20,344;21,669;32,316;44,800;46,189;46,159
97,000;47,381;47,008;49,116;49,200;38,091;26,599;22,415;25,469;35,592;48,470;50,611;51,981
98,000;61,183;62,115;57,224;52,462;49,788;30,107;25,817;29,477;39,347;57,044;55,277;59,586
99,000;73,239;73,582;64,274;58,991;53,375;39,489;28,305;36,338;61,110;70,041;64,192;73,224
