fecha;hrmean
2009-05-25;84,37
2009-05-26;85,05
2009-05-27;60,09
2009-05-28;52,43
2009-05-29;58,49
2009-05-30;95,64
2009-05-31;89,18
2009-06-01;74,36
2009-06-02;70,93
2009-06-03;69,31
2009-06-04;86,50
2009-06-05;90,11
2009-06-06;81,33
2009-06-07;79,85
2009-06-08;78,76
2009-06-09;71,89
2009-06-10;71,06
2009-06-11;64,10
2009-06-12;58,72
2009-06-13;61,73
2009-06-14;83,03
2009-06-15;91,79
2009-06-16;87,56
2009-06-17;81,81
2009-06-18;87,54
2009-06-19;74,16
2009-06-20;70,35
2009-06-21;94,06
2009-06-22;93,40
2009-06-23;87,54
