fecha;hrmean
2009-05-25;94,23
2009-05-26;66,32
2009-05-27;55,46
2009-05-28;50,86
2009-05-29;56,37
2009-05-30;46,41
2009-05-31;42,67
2009-06-01;42,87
2009-06-02;54,55
2009-06-03;53,90
2009-06-04;55,24
2009-06-05;85,88
2009-06-06;83,27
2009-06-07;87,44
2009-06-08;96,51
2009-06-09;94,66
2009-06-10;92,45
2009-06-11;98,88
2009-06-12;99,04
2009-06-13;96,42
2009-06-14;99,21
2009-06-15;97,86
2009-06-16;91,43
2009-06-17;88,03
2009-06-18;86,37
2009-06-19;86,17
2009-06-20;97,74
2009-06-21;94,53
2009-06-22;82,22
2009-06-23;77,90
