fecha;tmax
2009-05-25;297,40
2009-05-26;295,80
2009-05-27;292,00
2009-05-28;291,70
2009-05-29;288,40
2009-05-30;288,00
2009-05-31;290,30
2009-06-01;292,30
2009-06-02;294,30
2009-06-03;297,30
2009-06-04;298,40
2009-06-05;295,60
2009-06-06;293,40
2009-06-07;286,80
2009-06-08;286,20
2009-06-09;288,00
2009-06-10;285,10
2009-06-11;288,30
2009-06-12;290,20
2009-06-13;290,40
2009-06-14;290,00
2009-06-15;289,80
2009-06-16;288,60
2009-06-17;289,40
2009-06-18;290,10
2009-06-19;294,20
2009-06-20;289,60
2009-06-21;290,80
2009-06-22;293,10
2009-06-23;295,70
