fecha;radsup
2009-05-25;3,04
2009-05-26;7,04
2009-05-27;4,49
2009-05-28;2,78
2009-05-29;0,89
2009-05-30;1,66
2009-05-31;9,59
2009-06-01;12,99
2009-06-02;13,31
2009-06-03;13,06
2009-06-04;7,31
2009-06-05;11,40
2009-06-06;10,77
2009-06-07;7,05
2009-06-08;12,40
2009-06-09;6,28
2009-06-10;0,92
2009-06-11;4,36
2009-06-12;12,03
2009-06-13;4,75
2009-06-14;11,54
2009-06-15;12,06
2009-06-16;11,89
2009-06-17;0,92
2009-06-18;1,63
2009-06-19;3,24
2009-06-20;11,76
2009-06-21;12,63
2009-06-22;12,79
2009-06-23;12,79
