fecha;radsup
2002-12-02;8,56
2002-12-03;12,41
2002-12-04;5,01
2002-12-05;20,90
2002-12-06;18,19
2002-12-07;14,12
2002-12-08;2,70
2002-12-09;4,23
2002-12-10;8,29
2002-12-11;23,01
2002-12-12;28,38
2002-12-13;29,37
2002-12-14;30,25
2002-12-15;29,20
2002-12-16;26,86
2002-12-17;28,57
2002-12-18;21,42
2002-12-19;18,52
2002-12-20;18,62
2002-12-21;20,48
2002-12-22;6,67
2002-12-23;22,64
2002-12-24;26,28
2002-12-25;29,12
2002-12-26;28,67
2002-12-27;16,55
2002-12-28;24,67
2002-12-29;23,96
2002-12-30;21,64
2002-12-31;25,34
