fecha;tmax
2002-12-02;299,00
2002-12-03;296,40
2002-12-04;296,60
2002-12-05;302,40
2002-12-06;304,50
2002-12-07;308,20
2002-12-08;302,30
2002-12-09;295,90
2002-12-10;298,30
2002-12-11;300,50
2002-12-12;299,30
2002-12-13;301,40
2002-12-14;303,20
2002-12-15;305,30
2002-12-16;305,60
2002-12-17;305,00
2002-12-18;299,10
2002-12-19;304,60
2002-12-20;309,20
2002-12-21;306,10
2002-12-22;307,30
2002-12-23;307,80
2002-12-24;309,40
2002-12-25;310,20
2002-12-26;306,90
2002-12-27;309,90
2002-12-28;303,00
2002-12-29;302,80
2002-12-30;306,80
2002-12-31;308,00
