fecha;precip
2002-12-02;33,35
2002-12-03;25,53
2002-12-04;27,35
2002-12-05;4,92
2002-12-06;38,66
2002-12-07;48,97
2002-12-08;10,65
2002-12-09;0,04
2002-12-10;1,90
2002-12-11;1,49
2002-12-12;0,41
2002-12-13;0,13
2002-12-14;0,00
2002-12-15;0,00
2002-12-16;0,00
2002-12-17;0,00
2002-12-18;1,49
2002-12-19;1,45
2002-12-20;0,00
2002-12-21;0,00
2002-12-22;0,00
2002-12-23;0,17
2002-12-24;7,08
2002-12-25;2,42
2002-12-26;0,04
2002-12-27;26,03
2002-12-28;0,04
2002-12-29;0,11
2002-12-30;0,00
2002-12-31;5,16
