fecha;hrmean
2009-03-16;44,43
2009-03-17;43,24
2009-03-18;46,77
2009-03-19;47,71
2009-03-20;88,27
2009-03-21;85,54
2009-03-22;72,34
2009-03-23;57,47
2009-03-24;48,23
2009-03-25;43,41
2009-03-26;39,41
2009-03-27;44,35
2009-03-28;39,74
2009-03-29;39,52
2009-03-30;46,44
2009-03-31;47,07
2009-04-01;58,10
2009-04-02;41,92
2009-04-03;46,81
2009-04-04;50,25
2009-04-05;56,26
2009-04-06;42,33
2009-04-07;40,11
2009-04-08;39,89
2009-04-09;36,58
2009-04-10;47,29
2009-04-11;51,25
2009-04-12;41,59
2009-04-13;37,58
2009-04-14;56,05
