fecha;tmax
2009-03-16;308,90
2009-03-17;301,40
2009-03-18;301,30
2009-03-19;297,40
2009-03-20;292,90
2009-03-21;301,60
2009-03-22;304,40
2009-03-23;305,30
2009-03-24;305,00
2009-03-25;305,20
2009-03-26;304,30
2009-03-27;303,40
2009-03-28;302,60
2009-03-29;305,10
2009-03-30;305,60
2009-03-31;306,50
2009-04-01;304,10
2009-04-02;300,80
2009-04-03;302,20
2009-04-04;304,80
2009-04-05;303,70
2009-04-06;296,00
2009-04-07;296,80
2009-04-08;298,20
2009-04-09;292,30
2009-04-10;298,00
2009-04-11;294,50
2009-04-12;295,00
2009-04-13;300,40
2009-04-14;300,80
