fecha;radsup
2003-03-31;4,81
2003-04-01;19,15
2003-04-02;7,06
2003-04-03;2,59
2003-04-04;11,45
2003-04-05;19,11
2003-04-06;12,79
2003-04-07;16,42
2003-04-08;16,26
2003-04-09;16,66
2003-04-10;18,39
2003-04-11;18,28
2003-04-12;17,34
2003-04-13;17,73
2003-04-14;5,18
2003-04-15;6,54
2003-04-16;17,07
2003-04-17;4,21
2003-04-18;13,86
2003-04-19;7,89
2003-04-20;17,38
2003-04-21;17,87
2003-04-22;15,06
2003-04-23;16,57
2003-04-24;16,99
2003-04-25;16,20
2003-04-26;16,00
2003-04-27;16,23
2003-04-28;7,17
2003-04-29;14,37
