fecha;precip
2009-01-19;0,00
2009-01-20;0,00
2009-01-21;0,00
2009-01-22;0,00
2009-01-23;0,24
2009-01-24;0,00
2009-01-25;1,43
2009-01-26;40,98
2009-01-27;0,02
2009-01-28;0,00
2009-01-29;0,00
2009-01-30;0,58
2009-01-31;46,68
2009-02-01;2,35
2009-02-02;0,00
2009-02-03;0,00
2009-02-04;0,00
2009-02-05;2,10
2009-02-06;117,07
2009-02-07;0,00
2009-02-08;0,00
2009-02-09;3,43
2009-02-10;16,87
2009-02-11;11,04
2009-02-12;2,42
2009-02-13;57,67
2009-02-14;3,22
2009-02-15;0,04
2009-02-16;0,11
2009-02-17;0,00
