fecha;tmin
2009-01-19;292,20
2009-01-20;290,90
2009-01-21;290,60
2009-01-22;293,40
2009-01-23;298,60
2009-01-24;297,80
2009-01-25;296,70
2009-01-26;299,50
2009-01-27;296,20
2009-01-28;295,60
2009-01-29;291,10
2009-01-30;291,60
2009-01-31;292,80
2009-02-01;293,40
2009-02-02;295,30
2009-02-03;295,50
2009-02-04;296,30
2009-02-05;297,00
2009-02-06;298,00
2009-02-07;296,00
2009-02-08;297,10
2009-02-09;295,80
2009-02-10;294,70
2009-02-11;295,20
2009-02-12;294,80
2009-02-13;294,80
2009-02-14;296,60
2009-02-15;298,40
2009-02-16;295,70
2009-02-17;290,90
