fecha;precip
2009-02-16;0,00
2009-02-17;0,56
2009-02-18;17,28
2009-02-19;3,82
2009-02-20;12,38
2009-02-21;11,30
2009-02-22;48,71
2009-02-23;16,22
2009-02-24;17,50
2009-02-25;0,00
2009-02-26;0,00
2009-02-27;1,60
2009-02-28;0,30
2009-03-01;0,04
2009-03-02;4,56
2009-03-03;0,00
2009-03-04;0,06
2009-03-05;1,25
2009-03-06;0,00
2009-03-07;0,00
2009-03-08;11,08
2009-03-09;0,00
2009-03-10;4,60
2009-03-11;12,79
2009-03-12;29,74
2009-03-13;5,12
2009-03-14;3,24
2009-03-15;0,30
2009-03-16;6,72
2009-03-17;22,44
