fecha;radsup
2009-02-16;19,88
2009-02-17;19,92
2009-02-18;20,46
2009-02-19;13,46
2009-02-20;2,79
2009-02-21;10,94
2009-02-22;10,74
2009-02-23;19,30
2009-02-24;22,01
2009-02-25;23,69
2009-02-26;24,79
2009-02-27;24,68
2009-02-28;21,83
2009-03-01;16,05
2009-03-02;5,97
2009-03-03;17,09
2009-03-04;21,82
2009-03-05;23,29
2009-03-06;22,34
2009-03-07;3,94
2009-03-08;18,94
2009-03-09;23,46
2009-03-10;23,94
2009-03-11;23,17
2009-03-12;21,31
2009-03-13;22,44
2009-03-14;22,04
2009-03-15;22,79
2009-03-16;13,66
2009-03-17;19,14
