fecha;precip
2009-02-16;0,00
2009-02-17;0,00
2009-02-18;0,00
2009-02-19;2,48
2009-02-20;0,02
2009-02-21;0,04
2009-02-22;31,10
2009-02-23;2,01
2009-02-24;0,54
2009-02-25;34,32
2009-02-26;28,58
2009-02-27;9,18
2009-02-28;7,26
2009-03-01;14,93
2009-03-02;46,31
2009-03-03;12,64
2009-03-04;3,67
2009-03-05;22,05
2009-03-06;37,89
2009-03-07;10,24
2009-03-08;0,00
2009-03-09;0,60
2009-03-10;2,07
2009-03-11;5,38
2009-03-12;0,15
2009-03-13;0,39
2009-03-14;0,02
2009-03-15;7,00
2009-03-16;33,85
2009-03-17;16,83
