fecha;radsup
2009-03-17;8,70
2009-03-18;19,62
2009-03-19;19,87
2009-03-20;12,70
2009-03-21;16,52
2009-03-22;19,07
2009-03-23;20,43
2009-03-24;20,82
2009-03-25;21,10
2009-03-26;18,95
2009-03-27;21,35
2009-03-28;21,10
2009-03-29;13,21
2009-03-30;8,11
2009-03-31;7,71
2009-04-01;20,11
2009-04-02;20,17
2009-04-03;20,60
2009-04-04;20,03
2009-04-05;19,30
2009-04-06;19,59
2009-04-07;16,62
2009-04-08;10,02
2009-04-09;10,09
2009-04-10;14,85
2009-04-11;4,25
2009-04-12;1,53
2009-04-13;2,26
2009-04-14;8,42
2009-04-15;17,89
