fecha;tmin
2003-01-27;294,50
2003-01-28;294,90
2003-01-29;294,20
2003-01-30;295,20
2003-01-31;297,70
2003-02-01;302,40
2003-02-02;300,30
2003-02-03;299,00
2003-02-04;302,20
2003-02-05;299,90
2003-02-06;303,20
2003-02-07;304,30
2003-02-08;304,00
2003-02-09;303,20
2003-02-10;304,90
2003-02-11;303,30
2003-02-12;305,00
2003-02-13;304,20
2003-02-14;298,30
2003-02-15;289,50
2003-02-16;287,40
2003-02-17;291,30
2003-02-18;294,40
2003-02-19;294,40
2003-02-20;294,40
2003-02-21;291,40
2003-02-22;293,10
2003-02-23;298,40
2003-02-24;299,10
2003-02-25;296,10
