fecha;hrmean
2003-05-05;83,96
2003-05-06;79,38
2003-05-07;78,12
2003-05-08;74,67
2003-05-09;78,34
2003-05-10;75,32
2003-05-11;60,89
2003-05-12;64,86
2003-05-13;91,71
2003-05-14;100,15
2003-05-15;100,27
2003-05-16;85,31
2003-05-17;73,24
2003-05-18;87,01
2003-05-19;88,01
2003-05-20;99,05
2003-05-21;92,37
2003-05-22;84,14
2003-05-23;82,03
2003-05-24;93,53
2003-05-25;82,83
2003-05-26;63,13
2003-05-27;63,77
2003-05-28;97,67
2003-05-29;73,93
2003-05-30;83,62
2003-05-31;93,78
2003-06-01;70,12
2003-06-02;71,91
2003-06-03;76,80
