fecha;hrmean
2008-12-24;87,45
2008-12-25;60,10
2008-12-26;41,90
2008-12-27;35,00
2008-12-28;35,29
2008-12-29;34,02
2008-12-30;29,90
2008-12-31;38,02
2009-01-01;38,53
2009-01-02;39,27
2009-01-03;35,16
2009-01-04;37,66
2009-01-05;36,04
2009-01-06;48,29
2009-01-07;74,09
2009-01-08;79,16
2009-01-09;87,31
2009-01-10;66,09
2009-01-11;44,64
2009-01-12;39,69
2009-01-13;35,00
2009-01-14;37,15
2009-01-15;67,27
2009-01-16;88,16
2009-01-17;89,90
2009-01-18;93,69
2009-01-19;61,68
2009-01-20;43,53
2009-01-21;38,58
2009-01-22;43,96
