fecha;radsup
2003-03-03;15,52
2003-03-04;10,58
2003-03-05;13,42
2003-03-06;2,76
2003-03-07;16,03
2003-03-08;23,83
2003-03-09;23,67
2003-03-10;22,85
2003-03-11;4,26
2003-03-12;6,74
2003-03-13;5,82
2003-03-14;14,35
2003-03-15;22,80
2003-03-16;20,99
2003-03-17;20,34
2003-03-18;19,01
2003-03-19;14,69
2003-03-20;5,25
2003-03-21;9,07
2003-03-22;12,51
2003-03-23;14,50
2003-03-24;18,93
2003-03-25;18,24
2003-03-26;14,94
2003-03-27;12,50
2003-03-28;5,99
2003-03-29;17,89
2003-03-30;11,89
2003-03-31;3,55
2003-04-01;12,88
