fecha;radsup
2003-03-03;12,90
2003-03-04;16,73
2003-03-05;15,91
2003-03-06;3,03
2003-03-07;4,63
2003-03-08;15,65
2003-03-09;22,30
2003-03-10;22,12
2003-03-11;19,00
2003-03-12;17,19
2003-03-13;19,13
2003-03-14;22,28
2003-03-15;21,39
2003-03-16;21,65
2003-03-17;21,01
2003-03-18;22,32
2003-03-19;20,87
2003-03-20;21,17
2003-03-21;21,47
2003-03-22;21,84
2003-03-23;18,61
2003-03-24;18,21
2003-03-25;19,18
2003-03-26;20,66
2003-03-27;19,39
2003-03-28;14,14
2003-03-29;5,94
2003-03-30;14,08
2003-03-31;19,10
2003-04-01;14,44
