fecha;radsup
2003-03-03;4,21
2003-03-04;16,82
2003-03-05;11,79
2003-03-06;18,60
2003-03-07;17,44
2003-03-08;22,74
2003-03-09;22,74
2003-03-10;22,38
2003-03-11;20,47
2003-03-12;18,29
2003-03-13;20,53
2003-03-14;19,89
2003-03-15;4,50
2003-03-16;5,57
2003-03-17;18,55
2003-03-18;2,13
2003-03-19;20,51
2003-03-20;16,44
2003-03-21;15,47
2003-03-22;14,73
2003-03-23;16,98
2003-03-24;2,14
2003-03-25;21,34
2003-03-26;21,65
2003-03-27;10,22
2003-03-28;16,55
2003-03-29;11,21
2003-03-30;18,10
2003-03-31;11,33
2003-04-01;10,54
