;fecha;tmax_00;tmax_06;tmax_12;tmax_18
243;2019-09-01;;;;
244;2019-09-02;;;;
245;2019-09-03;;;;
246;2019-09-04;;;;
247;2019-09-05;;;;
248;2019-09-06;;;;
249;2019-09-07;;;;
250;2019-09-08;;;;
251;2019-09-09;;;;
252;2019-09-10;;;;
253;2019-09-11;;;;
254;2019-09-12;;;;
255;2019-09-13;;;;
256;2019-09-14;;;;
257;2019-09-15;;;;
258;2019-09-16;;;;
259;2019-09-17;;;;
260;2019-09-18;;;;
261;2019-09-19;;;;
262;2019-09-20;;;;
263;2019-09-21;;;;
264;2019-09-22;;;;
265;2019-09-23;;;;
266;2019-09-24;;;;
267;2019-09-25;;;;
268;2019-09-26;;;;
269;2019-09-27;;;;
270;2019-09-28;;;;
271;2019-09-29;;;;
272;2019-09-30;;;;
273;2019-10-01;;;;
274;2019-10-02;;;;
275;2019-10-03;;;;
276;2019-10-04;;;;
277;2019-10-05;;;;
278;2019-10-06;;;;
279;2019-10-07;;;;
280;2019-10-08;;;;
281;2019-10-09;;;;
282;2019-10-10;;;;
283;2019-10-11;;;;
284;2019-10-12;;;;
285;2019-10-13;;;;
286;2019-10-14;;;;
287;2019-10-15;;;;
288;2019-10-16;;;;
289;2019-10-17;;;;
290;2019-10-18;;;;
291;2019-10-19;;;;
292;2019-10-20;;;;
293;2019-10-21;;;;
294;2019-10-22;;;;
295;2019-10-23;;;;
296;2019-10-24;;;;
297;2019-10-25;;;;
298;2019-10-26;;;;
299;2019-10-27;;;;
300;2019-10-28;;;;
301;2019-10-29;;;;
302;2019-10-30;;;;
303;2019-10-31;;;;
304;2019-11-01;;;;
305;2019-11-02;;;;
306;2019-11-03;;;;
307;2019-11-04;;;;
308;2019-11-05;;;;
309;2019-11-06;;;;
310;2019-11-07;;;;
311;2019-11-08;;;;
312;2019-11-09;;;;
313;2019-11-10;;;;
314;2019-11-11;;;;
315;2019-11-12;;;;
316;2019-11-13;;;;
317;2019-11-14;;;;
318;2019-11-15;;;;
319;2019-11-16;;;;
320;2019-11-17;;;;
321;2019-11-18;;;;
322;2019-11-19;;;;
323;2019-11-20;;;;
324;2019-11-21;;;;
325;2019-11-22;;;;
326;2019-11-23;;;;
327;2019-11-24;;;;
328;2019-11-25;;;;
329;2019-11-26;;;;
330;2019-11-27;;;;
331;2019-11-28;;;;
332;2019-11-29;;;;
333;2019-11-30;;;;
334;2019-12-01;;;;
335;2019-12-02;;;;
336;2019-12-03;;;;
337;2019-12-04;;;;
338;2019-12-05;;;;
339;2019-12-06;;;;
340;2019-12-07;;;;
341;2019-12-08;;;;
342;2019-12-09;;;;
343;2019-12-10;;;;
344;2019-12-11;;;;
345;2019-12-12;;;;
346;2019-12-13;;;;
347;2019-12-14;;;;
348;2019-12-15;;;;
349;2019-12-16;;;;
350;2019-12-17;;;;
351;2019-12-18;;;;
352;2019-12-19;;;;
353;2019-12-20;;;;
354;2019-12-21;;;;
355;2019-12-22;;;;
356;2019-12-23;;;;
357;2019-12-24;;;;
358;2019-12-25;;;;
359;2019-12-26;;;;
360;2019-12-27;;;;
361;2019-12-28;;;;
362;2019-12-29;;;;
363;2019-12-30;;;;
364;2019-12-31;;;;
