fecha;tmax
2009-01-07;311,80
2009-01-08;313,60
2009-01-09;314,40
2009-01-10;312,20
2009-01-11;318,70
2009-01-12;314,90
2009-01-13;313,60
2009-01-14;307,90
2009-01-15;302,50
2009-01-16;305,80
2009-01-17;303,50
2009-01-18;306,90
2009-01-19;314,30
2009-01-20;312,80
2009-01-21;314,60
2009-01-22;303,90
2009-01-23;300,50
2009-01-24;306,60
2009-01-25;311,60
2009-01-26;303,20
2009-01-27;297,20
2009-01-28;302,90
2009-01-29;303,20
2009-01-30;303,00
2009-01-31;301,90
2009-02-01;308,70
2009-02-02;305,90
2009-02-03;299,30
2009-02-04;305,20
2009-02-05;304,40
