fecha;hrmean
2002-12-09;79,46
2002-12-10;88,32
2002-12-11;83,02
2002-12-12;77,49
2002-12-13;73,90
2002-12-14;75,83
2002-12-15;83,89
2002-12-16;81,87
2002-12-17;79,70
2002-12-18;71,90
2002-12-19;70,07
2002-12-20;65,38
2002-12-21;65,81
2002-12-22;69,24
2002-12-23;97,34
2002-12-24;89,19
2002-12-25;82,79
2002-12-26;97,95
2002-12-27;82,11
2002-12-28;64,42
2002-12-29;81,03
2002-12-30;96,62
2002-12-31;98,91
2003-01-01;94,08
2003-01-02;88,51
2003-01-03;75,36
2003-01-04;72,39
2003-01-05;73,47
2003-01-06;75,92
2003-01-07;77,89
