fecha;hrmean
2002-12-09;81,10
2002-12-10;83,66
2002-12-11;80,04
2002-12-12;75,34
2002-12-13;68,34
2002-12-14;62,20
2002-12-15;59,51
2002-12-16;58,37
2002-12-17;55,25
2002-12-18;56,92
2002-12-19;58,01
2002-12-20;55,87
2002-12-21;73,66
2002-12-22;93,55
2002-12-23;98,24
2002-12-24;89,22
2002-12-25;66,05
2002-12-26;68,99
2002-12-27;70,13
2002-12-28;81,97
2002-12-29;87,82
2002-12-30;92,06
2002-12-31;88,49
2003-01-01;96,51
2003-01-02;98,90
2003-01-03;98,05
2003-01-04;87,83
2003-01-05;73,47
2003-01-06;74,81
2003-01-07;94,04
