fecha;precip
2008-12-10;18,55
2008-12-11;0,06
2008-12-12;0,06
2008-12-13;0,00
2008-12-14;0,00
2008-12-15;0,00
2008-12-16;0,00
2008-12-17;0,00
2008-12-18;0,00
2008-12-19;0,00
2008-12-20;0,00
2008-12-21;0,00
2008-12-22;2,14
2008-12-23;11,32
2008-12-24;19,57
2008-12-25;11,43
2008-12-26;58,13
2008-12-27;0,26
2008-12-28;7,52
2008-12-29;75,92
2008-12-30;29,33
2008-12-31;3,52
2009-01-01;104,57
2009-01-02;0,00
2009-01-03;0,00
2009-01-04;0,58
2009-01-05;7,08
2009-01-06;0,54
2009-01-07;0,00
2009-01-08;0,00
