fecha;tmax
2008-12-10;307,80
2008-12-11;300,80
2008-12-12;302,50
2008-12-13;305,40
2008-12-14;304,20
2008-12-15;306,10
2008-12-16;310,60
2008-12-17;312,10
2008-12-18;307,40
2008-12-19;305,80
2008-12-20;305,10
2008-12-21;306,70
2008-12-22;310,80
2008-12-23;312,80
2008-12-24;308,30
2008-12-25;308,80
2008-12-26;306,80
2008-12-27;311,50
2008-12-28;311,00
2008-12-29;305,00
2008-12-30;309,10
2008-12-31;301,50
2009-01-01;297,10
2009-01-02;305,30
2009-01-03;307,80
2009-01-04;308,40
2009-01-05;309,50
2009-01-06;312,50
2009-01-07;303,00
2009-01-08;304,00
