fecha;tmax
2009-05-11;306,10
2009-05-12;306,10
2009-05-13;300,60
2009-05-14;288,50
2009-05-15;289,10
2009-05-16;293,30
2009-05-17;295,30
2009-05-18;297,90
2009-05-19;298,90
2009-05-20;299,20
2009-05-21;299,90
2009-05-22;300,20
2009-05-23;299,50
2009-05-24;299,40
2009-05-25;300,80
2009-05-26;300,80
2009-05-27;297,50
2009-05-28;298,10
2009-05-29;289,80
2009-05-30;288,90
2009-05-31;286,50
2009-06-01;286,40
2009-06-02;290,60
2009-06-03;293,50
2009-06-04;292,20
2009-06-05;291,00
2009-06-06;289,90
2009-06-07;292,00
2009-06-08;289,70
2009-06-09;289,40
