fecha;hrmean
2009-05-11;91,09
2009-05-12;80,32
2009-05-13;70,62
2009-05-14;57,29
2009-05-15;59,58
2009-05-16;57,79
2009-05-17;56,86
2009-05-18;62,80
2009-05-19;74,49
2009-05-20;67,38
2009-05-21;64,73
2009-05-22;61,62
2009-05-23;88,89
2009-05-24;92,53
2009-05-25;97,68
2009-05-26;88,22
2009-05-27;83,73
2009-05-28;91,47
2009-05-29;96,00
2009-05-30;59,65
2009-05-31;59,75
2009-06-01;68,34
2009-06-02;67,28
2009-06-03;63,96
2009-06-04;66,98
2009-06-05;73,09
2009-06-06;75,46
2009-06-07;57,66
2009-06-08;48,72
2009-06-09;56,21
