fecha;tmin
2009-05-11;294,30
2009-05-12;295,10
2009-05-13;289,00
2009-05-14;284,00
2009-05-15;279,60
2009-05-16;278,00
2009-05-17;281,50
2009-05-18;281,20
2009-05-19;283,80
2009-05-20;286,00
2009-05-21;285,80
2009-05-22;286,60
2009-05-23;291,20
2009-05-24;288,40
2009-05-25;291,50
2009-05-26;289,30
2009-05-27;285,60
2009-05-28;284,10
2009-05-29;284,60
2009-05-30;286,40
2009-05-31;287,50
2009-06-01;288,80
2009-06-02;287,00
2009-06-03;286,50
2009-06-04;290,40
2009-06-05;288,00
2009-06-06;290,40
2009-06-07;282,60
2009-06-08;278,20
2009-06-09;271,20
