fecha;precip
2009-05-11;0,00
2009-05-12;6,78
2009-05-13;12,40
2009-05-14;1,45
2009-05-15;0,00
2009-05-16;0,00
2009-05-17;0,00
2009-05-18;0,00
2009-05-19;5,31
2009-05-20;16,33
2009-05-21;26,31
2009-05-22;2,87
2009-05-23;0,71
2009-05-24;0,13
2009-05-25;4,84
2009-05-26;42,83
2009-05-27;42,23
2009-05-28;0,02
2009-05-29;0,22
2009-05-30;0,02
2009-05-31;0,00
2009-06-01;0,09
2009-06-02;0,24
2009-06-03;0,17
2009-06-04;0,00
2009-06-05;0,00
2009-06-06;0,28
2009-06-07;0,43
2009-06-08;13,69
2009-06-09;10,91
