fecha;tmin
2009-03-24;296,60
2009-03-25;296,00
2009-03-26;299,30
2009-03-27;295,30
2009-03-28;296,00
2009-03-29;300,50
2009-03-30;299,10
2009-03-31;298,90
2009-04-01;297,70
2009-04-02;299,10
2009-04-03;292,80
2009-04-04;291,40
2009-04-05;287,70
2009-04-06;292,00
2009-04-07;292,90
2009-04-08;289,50
2009-04-09;288,20
2009-04-10;288,60
2009-04-11;289,60
2009-04-12;291,80
2009-04-13;289,60
2009-04-14;290,50
2009-04-15;293,10
2009-04-16;294,20
2009-04-17;295,50
2009-04-18;283,00
2009-04-19;284,10
2009-04-20;281,20
2009-04-21;281,00
2009-04-22;282,10
