fecha;tmax
2009-03-24;307,80
2009-03-25;308,10
2009-03-26;307,90
2009-03-27;307,90
2009-03-28;310,60
2009-03-29;312,80
2009-03-30;311,90
2009-03-31;312,20
2009-04-01;312,00
2009-04-02;311,90
2009-04-03;310,40
2009-04-04;309,30
2009-04-05;300,90
2009-04-06;300,40
2009-04-07;298,30
2009-04-08;299,70
2009-04-09;293,60
2009-04-10;297,70
2009-04-11;297,20
2009-04-12;299,20
2009-04-13;301,30
2009-04-14;301,40
2009-04-15;294,50
2009-04-16;298,70
2009-04-17;296,10
2009-04-18;297,10
2009-04-19;299,50
2009-04-20;295,50
2009-04-21;292,90
2009-04-22;296,30
