fecha;tmin
2009-03-24;295,00
2009-03-25;296,50
2009-03-26;295,00
2009-03-27;294,00
2009-03-28;292,30
2009-03-29;293,50
2009-03-30;299,50
2009-03-31;296,60
2009-04-01;296,10
2009-04-02;298,00
2009-04-03;298,60
2009-04-04;297,40
2009-04-05;297,10
2009-04-06;299,40
2009-04-07;297,20
2009-04-08;294,70
2009-04-09;294,20
2009-04-10;292,80
2009-04-11;292,30
2009-04-12;296,30
2009-04-13;295,30
2009-04-14;294,20
2009-04-15;291,20
2009-04-16;283,00
2009-04-17;281,80
2009-04-18;285,40
2009-04-19;284,50
2009-04-20;279,80
2009-04-21;281,00
2009-04-22;292,50
