fecha;tmax
2009-04-14;308,90
2009-04-15;304,40
2009-04-16;305,50
2009-04-17;305,20
2009-04-18;307,10
2009-04-19;299,10
2009-04-20;301,90
2009-04-21;303,90
2009-04-22;303,90
2009-04-23;305,50
2009-04-24;306,90
2009-04-25;302,20
2009-04-26;305,00
2009-04-27;306,00
2009-04-28;306,20
2009-04-29;300,90
2009-04-30;302,70
2009-05-01;303,20
2009-05-02;305,30
2009-05-03;305,80
2009-05-04;304,00
2009-05-05;304,30
2009-05-06;304,40
2009-05-07;301,70
2009-05-08;304,70
2009-05-09;295,00
2009-05-10;293,00
2009-05-11;296,40
2009-05-12;301,50
2009-05-13;300,80
