fecha;hrmean
2009-04-14;32,27
2009-04-15;48,68
2009-04-16;38,56
2009-04-17;31,77
2009-04-18;33,24
2009-04-19;37,70
2009-04-20;35,55
2009-04-21;40,62
2009-04-22;65,76
2009-04-23;94,67
2009-04-24;84,10
2009-04-25;39,11
2009-04-26;27,12
2009-04-27;63,39
2009-04-28;92,87
2009-04-29;75,36
2009-04-30;79,39
2009-05-01;65,82
2009-05-02;69,18
2009-05-03;71,47
2009-05-04;66,94
2009-05-05;69,81
2009-05-06;61,01
2009-05-07;55,91
2009-05-08;56,26
2009-05-09;52,55
2009-05-10;55,35
2009-05-11;68,94
2009-05-12;93,68
2009-05-13;81,13
